REF_DATE,GEO,DGUID,Value and volume,Imports and exports,Type of beverage,VALUE
2005,Other countries,,Volume in litres,Imports,Spirits,8781
2005,Other countries,,Volume in litres,Imports,Wines,27508
2005,Other countries,,Volume in litres,Imports,Beer,45996
2005,Other countries,,Volume in litres,Exports,Spirits,1667
2005,Other countries,,Volume in litres,Exports,Wines,976
2006,Canada,,Volume in litres,Imports,Spirits,51892
2006,Canada,,Volume in litres,Imports,Wines,287680
2006,Canada,,Volume in litres,Imports,Beer,256242
2006,Canada,,Volume in litres,Exports,Spirits,69173
2006,Canada,,Volume in litres,Exports,Wines,16008
2006,Canada,,Volume in litres,Exports,Beer,360904
2006,Australia,,Volume in litres,Imports,Wines,52280
2006,Belgium,,Volume in litres,Exports,Spirits,868
2006,Brazil,,Volume in litres,Imports,Spirits,0
2006,Chile,,Volume in litres,Imports,Wines,24224
2006,France,,Volume in litres,Imports,Spirits,1957
2006,France,,Volume in litres,Imports,Wines,62705
2006,France,,Volume in litres,Exports,Spirits,53
2006,Germany,,Volume in litres,Imports,Wines,5359
2006,Germany,,Volume in litres,Imports,Beer,18734
2006,Guyana,,Volume in litres,Imports,Spirits,2680
2006,Ireland,,Volume in litres,Imports,Spirits,149
2006,Ireland,,Volume in litres,Imports,Beer,11535
2006,Italy,,Volume in litres,Imports,Wines,45689
2006,Jamaica,,Volume in litres,Imports,Spirits,5836
2006,Japan,,Volume in litres,Exports,Spirits,336
2006,Mexico,,Volume in litres,Imports,Spirits,2
2006,Mexico,,Volume in litres,Imports,Beer,52324
2006,Netherlands,,Volume in litres,Imports,Beer,46820
2006,South Africa,,Volume in litres,Exports,Spirits,0
2006,Spain,,Volume in litres,Imports,Wines,19347
2006,Sweden,,Volume in litres,Exports,Spirits,248
2006,Taiwan,,Volume in litres,Exports,Wines,106
2006,Thailand,,Volume in litres,Exports,Spirits,0
2006,United Kingdom,,Volume in litres,Imports,Spirits,4859
2006,United Kingdom,,Volume in litres,Imports,Beer,11254
2006,United Kingdom,,Volume in litres,Exports,Spirits,242
2006,United States,,Volume in litres,Imports,Spirits,26961
2006,United States,,Volume in litres,Imports,Wines,36065
2006,United States,,Volume in litres,Imports,Beer,58984
2006,United States,,Volume in litres,Exports,Spirits,65721
2006,United States,,Volume in litres,Exports,Wines,15116
2006,United States,,Volume in litres,Exports,Beer,360904
2006,Other countries,,Volume in litres,Imports,Spirits,9448
2006,Other countries,,Volume in litres,Imports,Wines,42011
2006,Other countries,,Volume in litres,Imports,Beer,56590
2006,Other countries,,Volume in litres,Exports,Spirits,1705
2006,Other countries,,Volume in litres,Exports,Wines,786
2007,Canada,,Volume in litres,Imports,Spirits,52605
2007,Canada,,Volume in litres,Imports,Wines,305380
2007,Canada,,Volume in litres,Imports,Beer,271898
2007,Canada,,Volume in litres,Exports,Spirits,71949
2007,Canada,,Volume in litres,Exports,Wines,7183
2007,Canada,,Volume in litres,Exports,Beer,396657
2007,Australia,,Volume in litres,Imports,Wines,52426
2007,Belgium,,Volume in litres,Exports,Spirits,2466
2007,Brazil,,Volume in litres,Imports,Spirits,2
2007,Chile,,Volume in litres,Imports,Wines,26027
2007,France,,Volume in litres,Imports,Spirits,2133
2007,France,,Volume in litres,Imports,Wines,62366
2007,France,,Volume in litres,Exports,Spirits,58
2007,Germany,,Volume in litres,Imports,Wines,5975
2007,Germany,,Volume in litres,Imports,Beer,18613
2007,Guyana,,Volume in litres,Imports,Spirits,3116
2007,Ireland,,Volume in litres,Imports,Spirits,160
2007,Ireland,,Volume in litres,Imports,Beer,13313
2007,Italy,,Volume in litres,Imports,Wines,52915
2007,Jamaica,,Volume in litres,Imports,Spirits,5396
2007,Japan,,Volume in litres,Exports,Spirits,319
2007,Mexico,,Volume in litres,Imports,Spirits,1
2007,Mexico,,Volume in litres,Imports,Beer,57746
2007,Netherlands,,Volume in litres,Imports,Beer,50988
2007,South Africa,,Volume in litres,Exports,Spirits,0
2007,Spain,,Volume in litres,Imports,Wines,21654
2007,Sweden,,Volume in litres,Exports,Spirits,319
2007,Taiwan,,Volume in litres,Exports,Wines,135
2007,Thailand,,Volume in litres,Exports,Spirits,0
2007,United Kingdom,,Volume in litres,Imports,Spirits,5030
2007,United Kingdom,,Volume in litres,Imports,Beer,10763
2007,United Kingdom,,Volume in litres,Exports,Spirits,198
2007,United States,,Volume in litres,Imports,Spirits,26689
2007,United States,,Volume in litres,Imports,Wines,40861
2007,United States,,Volume in litres,Imports,Beer,59612
2007,United States,,Volume in litres,Exports,Spirits,66118
2007,United States,,Volume in litres,Exports,Wines,6306
2007,United States,,Volume in litres,Exports,Beer,396657
2007,Other countries,,Volume in litres,Imports,Spirits,10080
2007,Other countries,,Volume in litres,Imports,Wines,43155
2007,Other countries,,Volume in litres,Imports,Beer,60863
2007,Other countries,,Volume in litres,Exports,Spirits,2471
2007,Other countries,,Volume in litres,Exports,Wines,742
2008,Canada,,Volume in litres,Imports,Spirits,41225
2008,Canada,,Volume in litres,Imports,Wines,320023
2008,Canada,,Volume in litres,Imports,Beer,295490
2008,Canada,,Volume in litres,Exports,Spirits,119472
2008,Canada,,Volume in litres,Exports,Wines,7754
2008,Canada,,Volume in litres,Exports,Beer,398392
2008,Australia,,Volume in litres,Imports,Wines,51757
2008,Belgium,,Volume in litres,Exports,Spirits,714
2008,Brazil,,Volume in litres,Imports,Spirits,2
2008,Chile,,Volume in litres,Imports,Wines,29887
2008,France,,Volume in litres,Imports,Spirits,2155
2008,France,,Volume in litres,Imports,Wines,60112
2008,France,,Volume in litres,Exports,Spirits,106
2008,Germany,,Volume in litres,Imports,Wines,6241
2008,Germany,,Volume in litres,Imports,Beer,19683
2008,Guyana,,Volume in litres,Imports,Spirits,2352
2008,Ireland,,Volume in litres,Imports,Spirits,204
2008,Ireland,,Volume in litres,Imports,Beer,13453
2008,Italy,,Volume in litres,Imports,Wines,56913
2008,Jamaica,,Volume in litres,Imports,Spirits,3515
2008,Japan,,Volume in litres,Exports,Spirits,1130
2008,Mexico,,Volume in litres,Imports,Spirits,2
2008,Mexico,,Volume in litres,Imports,Beer,66640
2008,Netherlands,,Volume in litres,Imports,Beer,57656
2008,South Africa,,Volume in litres,Exports,Spirits,0
2008,Spain,,Volume in litres,Imports,Wines,20242
2008,Sweden,,Volume in litres,Exports,Spirits,619
2008,Taiwan,,Volume in litres,Exports,Wines,64
2008,Thailand,,Volume in litres,Exports,Spirits,0
2008,United Kingdom,,Volume in litres,Imports,Spirits,5111
2008,United Kingdom,,Volume in litres,Imports,Beer,10552
2008,United Kingdom,,Volume in litres,Exports,Spirits,141
2008,United States,,Volume in litres,Imports,Spirits,17016
2008,United States,,Volume in litres,Imports,Wines,44779
2008,United States,,Volume in litres,Imports,Beer,58311
2008,United States,,Volume in litres,Exports,Spirits,115477
2008,United States,,Volume in litres,Exports,Wines,6736
2008,United States,,Volume in litres,Exports,Beer,398392
2008,Other countries,,Volume in litres,Imports,Spirits,10867
2008,Other countries,,Volume in litres,Imports,Wines,50093
2008,Other countries,,Volume in litres,Imports,Beer,69195
2008,Other countries,,Volume in litres,Exports,Spirits,1284
2008,Other countries,,Volume in litres,Exports,Wines,953
2009,Canada,,Volume in litres,Imports,Spirits,37743
2009,Canada,,Volume in litres,Imports,Wines,317662
2009,Canada,,Volume in litres,Imports,Beer,326939
2009,Canada,,Volume in litres,Exports,Spirits,123888
2009,Canada,,Volume in litres,Exports,Wines,12054
2009,Canada,,Volume in litres,Exports,Beer,343756
2009,Australia,,Volume in litres,Imports,Wines,44169
2009,Belgium,,Volume in litres,Exports,Spirits,619
2009,Brazil,,Volume in litres,Imports,Spirits,11
2009,Chile,,Volume in litres,Imports,Wines,31276
2009,France,,Volume in litres,Imports,Spirits,2419
2009,France,,Volume in litres,Imports,Wines,58123
2009,France,,Volume in litres,Exports,Spirits,145
2009,Germany,,Volume in litres,Imports,Wines,6986
2009,Germany,,Volume in litres,Imports,Beer,21647
2009,Guyana,,Volume in litres,Imports,Spirits,2584
2009,Ireland,,Volume in litres,Imports,Spirits,210
2009,Ireland,,Volume in litres,Imports,Beer,14420
2009,Italy,,Volume in litres,Imports,Wines,55916
2009,Jamaica,,Volume in litres,Imports,Spirits,5919
2009,Japan,,Volume in litres,Exports,Spirits,932
2009,Mexico,,Volume in litres,Imports,Spirits,1
2009,Mexico,,Volume in litres,Imports,Beer,67729
2009,Netherlands,,Volume in litres,Imports,Beer,64353
2009,South Africa,,Volume in litres,Exports,Spirits,0
2009,Spain,,Volume in litres,Imports,Wines,16535
2009,Sweden,,Volume in litres,Exports,Spirits,428
2009,Taiwan,,Volume in litres,Exports,Wines,19
2009,Thailand,,Volume in litres,Exports,Spirits,0
2009,United Kingdom,,Volume in litres,Imports,Spirits,5139
2009,United Kingdom,,Volume in litres,Imports,Beer,12404
2009,United Kingdom,,Volume in litres,Exports,Spirits,201
2009,United States,,Volume in litres,Imports,Spirits,12365
2009,United States,,Volume in litres,Imports,Wines,48870
2009,United States,,Volume in litres,Imports,Beer,68247
2009,United States,,Volume in litres,Exports,Spirits,119983
2009,United States,,Volume in litres,Exports,Wines,11140
2009,United States,,Volume in litres,Exports,Beer,343756
2009,Other countries,,Volume in litres,Imports,Spirits,9096
2009,Other countries,,Volume in litres,Imports,Wines,55787
2009,Other countries,,Volume in litres,Imports,Beer,78138
2009,Other countries,,Volume in litres,Exports,Spirits,1579
2009,Other countries,,Volume in litres,Exports,Wines,895
2010,Canada,,Volume in litres,Imports,Spirits,55124
2010,Canada,,Volume in litres,Imports,Wines,331191
2010,Canada,,Volume in litres,Imports,Beer,342679
2010,Canada,,Volume in litres,Exports,Spirits,121462
2010,Canada,,Volume in litres,Exports,Wines,13133
2010,Canada,,Volume in litres,Exports,Beer,308691
2010,Australia,,Volume in litres,Imports,Wines,49057
2010,Belgium,,Volume in litres,Exports,Spirits,283
2010,Brazil,,Volume in litres,Imports,Spirits,20
2010,Chile,,Volume in litres,Imports,Wines,37296
2010,France,,Volume in litres,Imports,Spirits,2596
2010,France,,Volume in litres,Imports,Wines,56563
2010,France,,Volume in litres,Exports,Spirits,35
2010,Germany,,Volume in litres,Imports,Wines,5984
2010,Germany,,Volume in litres,Imports,Beer,21289
2010,Guyana,,Volume in litres,Imports,Spirits,1364
2010,Ireland,,Volume in litres,Imports,Spirits,233
2010,Ireland,,Volume in litres,Imports,Beer,14837
2010,Italy,,Volume in litres,Imports,Wines,60539
2010,Jamaica,,Volume in litres,Imports,Spirits,5805
2010,Japan,,Volume in litres,Exports,Spirits,531
2010,Mexico,,Volume in litres,Imports,Spirits,5
2010,Mexico,,Volume in litres,Imports,Beer,67303
2010,Netherlands,,Volume in litres,Imports,Beer,59080
2010,South Africa,,Volume in litres,Exports,Spirits,0
2010,Spain,,Volume in litres,Imports,Wines,18757
2010,Sweden,,Volume in litres,Exports,Spirits,333
2010,Taiwan,,Volume in litres,Exports,Wines,19
2010,Thailand,,Volume in litres,Exports,Spirits,1
2010,United Kingdom,,Volume in litres,Imports,Spirits,4949
2010,United Kingdom,,Volume in litres,Imports,Beer,32036
2010,United Kingdom,,Volume in litres,Exports,Spirits,503
2010,United States,,Volume in litres,Imports,Spirits,32586
2010,United States,,Volume in litres,Imports,Wines,44960
2010,United States,,Volume in litres,Imports,Beer,83526
2010,United States,,Volume in litres,Exports,Spirits,118349
2010,United States,,Volume in litres,Exports,Wines,12034
2010,United States,,Volume in litres,Exports,Beer,308691
2010,Other countries,,Volume in litres,Imports,Spirits,7566
2010,Other countries,,Volume in litres,Imports,Wines,58036
2010,Other countries,,Volume in litres,Imports,Beer,64607
2010,Other countries,,Volume in litres,Exports,Spirits,1426
2010,Other countries,,Volume in litres,Exports,Wines,1081
2011,Canada,,Volume in litres,Imports,Spirits,32912
2011,Canada,,Volume in litres,Imports,Wines,358603
2011,Canada,,Volume in litres,Imports,Beer,343981
2011,Canada,,Volume in litres,Exports,Spirits,122631
2011,Canada,,Volume in litres,Exports,Wines,19365
2011,Canada,,Volume in litres,Exports,Beer,332022
2011,Australia,,Volume in litres,Imports,Wines,57194
2011,Belgium,,Volume in litres,Exports,Spirits,39
2011,Brazil,,Volume in litres,Imports,Spirits,12
2011,Chile,,Volume in litres,Imports,Wines,29036
2011,France,,Volume in litres,Imports,Spirits,2660
2011,France,,Volume in litres,Imports,Wines,58427
2011,France,,Volume in litres,Exports,Spirits,30
2011,Germany,,Volume in litres,Imports,Wines,6192
2011,Germany,,Volume in litres,Imports,Beer,24330
2011,Guyana,,Volume in litres,Imports,Spirits,1016
2011,Ireland,,Volume in litres,Imports,Spirits,267
2011,Ireland,,Volume in litres,Imports,Beer,13664
2011,Italy,,Volume in litres,Imports,Wines,66942
2011,Jamaica,,Volume in litres,Imports,Spirits,4456
2011,Japan,,Volume in litres,Exports,Spirits,225
2011,Mexico,,Volume in litres,Imports,Spirits,10
2011,Mexico,,Volume in litres,Imports,Beer,63631
2011,Netherlands,,Volume in litres,Imports,Beer,64318
2011,South Africa,,Volume in litres,Exports,Spirits,12
2011,Spain,,Volume in litres,Imports,Wines,29008
2011,Sweden,,Volume in litres,Exports,Spirits,143
2011,Taiwan,,Volume in litres,Exports,Wines,21
2011,Thailand,,Volume in litres,Exports,Spirits,
2011,United Kingdom,,Volume in litres,Imports,Spirits,5093
2011,United Kingdom,,Volume in litres,Imports,Beer,25539
2011,United Kingdom,,Volume in litres,Exports,Spirits,441
2011,United States,,Volume in litres,Imports,Spirits,10486
2011,United States,,Volume in litres,Imports,Wines,50699
2011,United States,,Volume in litres,Imports,Beer,80759
2011,United States,,Volume in litres,Exports,Spirits,120377
2011,United States,,Volume in litres,Exports,Wines,18135
2011,United States,,Volume in litres,Exports,Beer,332022
2011,Other countries,,Volume in litres,Imports,Spirits,8911
2011,Other countries,,Volume in litres,Imports,Wines,61105
2011,Other countries,,Volume in litres,Imports,Beer,71739
2011,Other countries,,Volume in litres,Exports,Spirits,1364
2011,Other countries,,Volume in litres,Exports,Wines,1209
2012,Canada,,Volume in litres,Imports,Spirits,37269
2012,Canada,,Volume in litres,Imports,Wines,361360
2012,Canada,,Volume in litres,Imports,Beer,317577
2012,Canada,,Volume in litres,Exports,Spirits,123151
2012,Canada,,Volume in litres,Exports,Wines,28883
2012,Canada,,Volume in litres,Exports,Beer,275227
2012,Australia,,Volume in litres,Imports,Wines,48299
2012,Belgium,,Volume in litres,Exports,Spirits,16
2012,Brazil,,Volume in litres,Imports,Spirits,18
2012,Chile,,Volume in litres,Imports,Wines,25190
2012,France,,Volume in litres,Imports,Spirits,2691
2012,France,,Volume in litres,Imports,Wines,59606
2012,France,,Volume in litres,Exports,Spirits,54
2012,Germany,,Volume in litres,Imports,Wines,6203
2012,Germany,,Volume in litres,Imports,Beer,22768
2012,Guyana,,Volume in litres,Imports,Spirits,340
2012,Ireland,,Volume in litres,Imports,Spirits,331
2012,Ireland,,Volume in litres,Imports,Beer,14744
2012,Italy,,Volume in litres,Imports,Wines,69723
2012,Jamaica,,Volume in litres,Imports,Spirits,1685
2012,Japan,,Volume in litres,Exports,Spirits,257
2012,Mexico,,Volume in litres,Imports,Spirits,18
2012,Mexico,,Volume in litres,Imports,Beer,53965
2012,Netherlands,,Volume in litres,Imports,Beer,60873
2012,South Africa,,Volume in litres,Exports,Spirits,0
2012,Spain,,Volume in litres,Imports,Wines,39448
2012,Sweden,,Volume in litres,Exports,Spirits,132
2012,Taiwan,,Volume in litres,Exports,Wines,34
2012,Thailand,,Volume in litres,Exports,Spirits,
2012,United Kingdom,,Volume in litres,Imports,Spirits,5309
2012,United Kingdom,,Volume in litres,Imports,Beer,17289
2012,United Kingdom,,Volume in litres,Exports,Spirits,283
2012,United States,,Volume in litres,Imports,Spirits,20094
2012,United States,,Volume in litres,Imports,Wines,54634
2012,United States,,Volume in litres,Imports,Beer,74518
2012,United States,,Volume in litres,Exports,Spirits,120923
2012,United States,,Volume in litres,Exports,Wines,27220
2012,United States,,Volume in litres,Exports,Beer,275227
2012,Other countries,,Volume in litres,Imports,Spirits,6782
2012,Other countries,,Volume in litres,Imports,Wines,58259
2012,Other countries,,Volume in litres,Imports,Beer,73419
2012,Other countries,,Volume in litres,Exports,Spirits,1484
2012,Other countries,,Volume in litres,Exports,Wines,1630
2013,Canada,,Volume in litres,Imports,Spirits,26252
2013,Canada,,Volume in litres,Imports,Wines,374675
2013,Canada,,Volume in litres,Imports,Beer,338700
2013,Canada,,Volume in litres,Exports,Spirits,137632
2013,Canada,,Volume in litres,Exports,Wines,35704
2013,Canada,,Volume in litres,Exports,Beer,249435
2013,Australia,,Volume in litres,Imports,Wines,49443
2013,Belgium,,Volume in litres,Exports,Spirits,326
2013,Brazil,,Volume in litres,Imports,Spirits,28
2013,Chile,,Volume in litres,Imports,Wines,25378
2013,France,,Volume in litres,Imports,Spirits,2706
2013,France,,Volume in litres,Imports,Wines,61410
2013,France,,Volume in litres,Exports,Spirits,1259
2013,Germany,,Volume in litres,Imports,Wines,6278
2013,Germany,,Volume in litres,Imports,Beer,23702
2013,Guyana,,Volume in litres,Imports,Spirits,375
2013,Ireland,,Volume in litres,Imports,Spirits,390
2013,Ireland,,Volume in litres,Imports,Beer,14587
2013,Italy,,Volume in litres,Imports,Wines,69866
2013,Jamaica,,Volume in litres,Imports,Spirits,1403
2013,Japan,,Volume in litres,Exports,Spirits,3572
2013,Mexico,,Volume in litres,Imports,Spirits,28
2013,Mexico,,Volume in litres,Imports,Beer,56353
2013,Netherlands,,Volume in litres,Imports,Beer,63470
2013,South Africa,,Volume in litres,Exports,Spirits,1184
2013,Spain,,Volume in litres,Imports,Wines,34619
2013,Sweden,,Volume in litres,Exports,Spirits,137
2013,Taiwan,,Volume in litres,Exports,Wines,26
2013,Thailand,,Volume in litres,Exports,Spirits,
2013,United Kingdom,,Volume in litres,Imports,Spirits,5281
2013,United Kingdom,,Volume in litres,Imports,Beer,20391
2013,United Kingdom,,Volume in litres,Exports,Spirits,95
2013,United States,,Volume in litres,Imports,Spirits,8989
2013,United States,,Volume in litres,Imports,Wines,58036
2013,United States,,Volume in litres,Imports,Beer,82599
2013,United States,,Volume in litres,Exports,Spirits,128009
2013,United States,,Volume in litres,Exports,Wines,33686
2013,United States,,Volume in litres,Exports,Beer,249435
2013,Other countries,,Volume in litres,Imports,Spirits,7051
2013,Other countries,,Volume in litres,Imports,Wines,69646
2013,Other countries,,Volume in litres,Imports,Beer,77598
2013,Other countries,,Volume in litres,Exports,Spirits,3051
2013,Other countries,,Volume in litres,Exports,Wines,1992
