REF_DATE,GEO,DGUID,Value and volume,Imports and exports,Type of beverage,VALUE
1995,Other countries,,Volume in litres,Imports,Wines,21073
1995,Other countries,,Volume in litres,Imports,Beer,11737
1995,Other countries,,Volume in litres,Exports,Spirits,4514
1995,Other countries,,Volume in litres,Exports,Wines,603
1996,Canada,,Volume in litres,Imports,Spirits,22894
1996,Canada,,Volume in litres,Imports,Wines,163808
1996,Canada,,Volume in litres,Imports,Beer,84897
1996,Canada,,Volume in litres,Exports,Spirits,71330
1996,Canada,,Volume in litres,Exports,Wines,4967
1996,Canada,,Volume in litres,Exports,Beer,357314
1996,Australia,,Volume in litres,Imports,Wines,0
1996,Brazil,,Volume in litres,Imports,Spirits,4319
1996,Chile,,Volume in litres,Imports,Wines,23936
1996,France,,Volume in litres,Imports,Spirits,2763
1996,France,,Volume in litres,Imports,Wines,53177
1996,France,,Volume in litres,Exports,Spirits,
1996,Germany,,Volume in litres,Imports,Wines,6008
1996,Germany,,Volume in litres,Imports,Beer,5908
1996,Guyana,,Volume in litres,Imports,Spirits,2540
1996,Italy,,Volume in litres,Imports,Wines,27034
1996,Jamaica,,Volume in litres,Imports,Spirits,0
1996,Japan,,Volume in litres,Exports,Spirits,2119
1996,Mexico,,Volume in litres,Imports,Beer,10027
1996,Netherlands,,Volume in litres,Imports,Beer,7152
1996,Spain,,Volume in litres,Imports,Wines,5652
1996,Sweden,,Volume in litres,Exports,Spirits,0
1996,Taiwan,,Volume in litres,Exports,Wines,0
1996,Thailand,,Volume in litres,Exports,Spirits,1058
1996,United Kingdom,,Volume in litres,Imports,Spirits,4442
1996,United Kingdom,,Volume in litres,Imports,Beer,5671
1996,United Kingdom,,Volume in litres,Exports,Spirits,1134
1996,United States,,Volume in litres,Imports,Spirits,2303
1996,United States,,Volume in litres,Imports,Wines,29511
1996,United States,,Volume in litres,Imports,Beer,43202
1996,United States,,Volume in litres,Exports,Spirits,61919
1996,United States,,Volume in litres,Exports,Wines,859
1996,United States,,Volume in litres,Exports,Beer,357314
1996,Other countries,,Volume in litres,Imports,Spirits,6527
1996,Other countries,,Volume in litres,Imports,Wines,18490
1996,Other countries,,Volume in litres,Imports,Beer,12937
1996,Other countries,,Volume in litres,Exports,Spirits,5100
1996,Other countries,,Volume in litres,Exports,Wines,4108
1997,Canada,,Volume in litres,Imports,Spirits,16272
1997,Canada,,Volume in litres,Imports,Wines,172647
1997,Canada,,Volume in litres,Imports,Beer,96665
1997,Canada,,Volume in litres,Exports,Spirits,69335
1997,Canada,,Volume in litres,Exports,Wines,2623
1997,Canada,,Volume in litres,Exports,Beer,350139
1997,Australia,,Volume in litres,Imports,Wines,6920
1997,Brazil,,Volume in litres,Imports,Spirits,
1997,Chile,,Volume in litres,Imports,Wines,26221
1997,France,,Volume in litres,Imports,Spirits,1523
1997,France,,Volume in litres,Imports,Wines,49498
1997,France,,Volume in litres,Exports,Spirits,
1997,Germany,,Volume in litres,Imports,Wines,4670
1997,Germany,,Volume in litres,Imports,Beer,6287
1997,Guyana,,Volume in litres,Imports,Spirits,0
1997,Ireland,,Volume in litres,Imports,Spirits,991
1997,Italy,,Volume in litres,Imports,Wines,28324
1997,Jamaica,,Volume in litres,Imports,Spirits,1521
1997,Japan,,Volume in litres,Exports,Spirits,2414
1997,Mexico,,Volume in litres,Imports,Beer,10944
1997,Netherlands,,Volume in litres,Imports,Beer,7704
1997,Spain,,Volume in litres,Imports,Wines,0
1997,Sweden,,Volume in litres,Exports,Spirits,1056
1997,Taiwan,,Volume in litres,Exports,Wines,349
1997,Thailand,,Volume in litres,Exports,Spirits,
1997,United Kingdom,,Volume in litres,Imports,Spirits,4329
1997,United Kingdom,,Volume in litres,Imports,Beer,6818
1997,United Kingdom,,Volume in litres,Exports,Spirits,1953
1997,United States,,Volume in litres,Imports,Spirits,3134
1997,United States,,Volume in litres,Imports,Wines,33721
1997,United States,,Volume in litres,Imports,Beer,53037
1997,United States,,Volume in litres,Exports,Spirits,58822
1997,United States,,Volume in litres,Exports,Wines,981
1997,United States,,Volume in litres,Exports,Beer,350139
1997,Other countries,,Volume in litres,Imports,Spirits,4774
1997,Other countries,,Volume in litres,Imports,Wines,23293
1997,Other countries,,Volume in litres,Imports,Beer,11875
1997,Other countries,,Volume in litres,Exports,Spirits,5090
1997,Other countries,,Volume in litres,Exports,Wines,1293
1998,Canada,,Volume in litres,Imports,Spirits,21668
1998,Canada,,Volume in litres,Imports,Wines,191136
1998,Canada,,Volume in litres,Imports,Beer,114247
1998,Canada,,Volume in litres,Exports,Spirits,65647
1998,Canada,,Volume in litres,Exports,Wines,3693
1998,Canada,,Volume in litres,Exports,Beer,360095
1998,Australia,,Volume in litres,Imports,Wines,7515
1998,Brazil,,Volume in litres,Imports,Spirits,
1998,Chile,,Volume in litres,Imports,Wines,29962
1998,France,,Volume in litres,Imports,Spirits,1694
1998,France,,Volume in litres,Imports,Wines,59815
1998,France,,Volume in litres,Exports,Spirits,
1998,Germany,,Volume in litres,Imports,Wines,4919
1998,Germany,,Volume in litres,Imports,Beer,0
1998,Guyana,,Volume in litres,Imports,Spirits,2099
1998,Ireland,,Volume in litres,Imports,Spirits,0
1998,Ireland,,Volume in litres,Imports,Beer,7470
1998,Italy,,Volume in litres,Imports,Wines,28847
1998,Jamaica,,Volume in litres,Imports,Spirits,0
1998,Japan,,Volume in litres,Exports,Spirits,1240
1998,Mexico,,Volume in litres,Imports,Spirits,2529
1998,Mexico,,Volume in litres,Imports,Beer,17359
1998,Netherlands,,Volume in litres,Imports,Beer,9790
1998,South Africa,,Volume in litres,Exports,Spirits,1245
1998,Spain,,Volume in litres,Imports,Wines,0
1998,Sweden,,Volume in litres,Exports,Spirits,1097
1998,Taiwan,,Volume in litres,Exports,Wines,889
1998,Thailand,,Volume in litres,Exports,Spirits,
1998,United Kingdom,,Volume in litres,Imports,Spirits,4776
1998,United Kingdom,,Volume in litres,Imports,Beer,8935
1998,United Kingdom,,Volume in litres,Exports,Spirits,0
1998,United States,,Volume in litres,Imports,Spirits,5903
1998,United States,,Volume in litres,Imports,Wines,33691
1998,United States,,Volume in litres,Imports,Beer,57050
1998,United States,,Volume in litres,Exports,Spirits,56812
1998,United States,,Volume in litres,Exports,Wines,1717
1998,United States,,Volume in litres,Exports,Beer,360095
1998,Other countries,,Volume in litres,Imports,Spirits,4667
1998,Other countries,,Volume in litres,Imports,Wines,26387
1998,Other countries,,Volume in litres,Imports,Beer,13643
1998,Other countries,,Volume in litres,Exports,Spirits,5253
1998,Other countries,,Volume in litres,Exports,Wines,1087
1999,Canada,,Volume in litres,Imports,Spirits,23507
1999,Canada,,Volume in litres,Imports,Wines,214219
1999,Canada,,Volume in litres,Imports,Beer,131851
1999,Canada,,Volume in litres,Exports,Spirits,66267
1999,Canada,,Volume in litres,Exports,Wines,3974
1999,Canada,,Volume in litres,Exports,Beer,356744
1999,Australia,,Volume in litres,Imports,Wines,9065
1999,Belgium,,Volume in litres,Exports,Spirits,1328
1999,Brazil,,Volume in litres,Imports,Spirits,
1999,Chile,,Volume in litres,Imports,Wines,23938
1999,France,,Volume in litres,Imports,Spirits,1982
1999,France,,Volume in litres,Imports,Wines,68975
1999,France,,Volume in litres,Exports,Spirits,
1999,Germany,,Volume in litres,Imports,Wines,0
1999,Germany,,Volume in litres,Imports,Beer,0
1999,Guyana,,Volume in litres,Imports,Spirits,
1999,Ireland,,Volume in litres,Imports,Spirits,0
1999,Ireland,,Volume in litres,Imports,Beer,9667
1999,Italy,,Volume in litres,Imports,Wines,35921
1999,Jamaica,,Volume in litres,Imports,Spirits,2284
1999,Japan,,Volume in litres,Exports,Spirits,3456
1999,Mexico,,Volume in litres,Imports,Spirits,1424
1999,Mexico,,Volume in litres,Imports,Beer,19753
1999,Netherlands,,Volume in litres,Imports,Beer,14326
1999,South Africa,,Volume in litres,Exports,Spirits,
1999,Spain,,Volume in litres,Imports,Wines,6348
1999,Sweden,,Volume in litres,Exports,Spirits,1478
1999,Taiwan,,Volume in litres,Exports,Wines,404
1999,Thailand,,Volume in litres,Exports,Spirits,
1999,United Kingdom,,Volume in litres,Imports,Spirits,5073
1999,United Kingdom,,Volume in litres,Imports,Beer,11654
1999,United Kingdom,,Volume in litres,Exports,Spirits,0
1999,United States,,Volume in litres,Imports,Spirits,6192
1999,United States,,Volume in litres,Imports,Wines,41757
1999,United States,,Volume in litres,Imports,Beer,60218
1999,United States,,Volume in litres,Exports,Spirits,56018
1999,United States,,Volume in litres,Exports,Wines,2672
1999,United States,,Volume in litres,Exports,Beer,356744
1999,Other countries,,Volume in litres,Imports,Spirits,6554
1999,Other countries,,Volume in litres,Imports,Wines,28215
1999,Other countries,,Volume in litres,Imports,Beer,16232
1999,Other countries,,Volume in litres,Exports,Spirits,3986
1999,Other countries,,Volume in litres,Exports,Wines,899
2000,Canada,,Volume in litres,Imports,Spirits,27067
2000,Canada,,Volume in litres,Imports,Wines,224529
2000,Canada,,Volume in litres,Imports,Beer,159816
2000,Canada,,Volume in litres,Exports,Spirits,72661
2000,Canada,,Volume in litres,Exports,Wines,17729
2000,Canada,,Volume in litres,Exports,Beer,365690
2000,Australia,,Volume in litres,Imports,Wines,1453
2000,Belgium,,Volume in litres,Exports,Spirits,
2000,Brazil,,Volume in litres,Imports,Spirits,
2000,Chile,,Volume in litres,Imports,Wines,23389
2000,France,,Volume in litres,Imports,Spirits,1778
2000,France,,Volume in litres,Imports,Wines,71527
2000,France,,Volume in litres,Exports,Spirits,
2000,Germany,,Volume in litres,Imports,Wines,4927
2000,Germany,,Volume in litres,Imports,Beer,8114
2000,Guyana,,Volume in litres,Imports,Spirits,
2000,Ireland,,Volume in litres,Imports,Spirits,1107
2000,Ireland,,Volume in litres,Imports,Beer,
2000,Italy,,Volume in litres,Imports,Wines,39194
2000,Jamaica,,Volume in litres,Imports,Spirits,2031
2000,Japan,,Volume in litres,Exports,Spirits,4924
2000,Mexico,,Volume in litres,Imports,Spirits,
2000,Mexico,,Volume in litres,Imports,Beer,33000
2000,Netherlands,,Volume in litres,Imports,Beer,19825
2000,South Africa,,Volume in litres,Exports,Spirits,
2000,Spain,,Volume in litres,Imports,Wines,
2000,Sweden,,Volume in litres,Exports,Spirits,1018
2000,Taiwan,,Volume in litres,Exports,Wines,239
2000,Thailand,,Volume in litres,Exports,Spirits,
2000,United Kingdom,,Volume in litres,Imports,Spirits,5243
2000,United Kingdom,,Volume in litres,Imports,Beer,12432
2000,United Kingdom,,Volume in litres,Exports,Spirits,1238
2000,United States,,Volume in litres,Imports,Spirits,7797
2000,United States,,Volume in litres,Imports,Wines,41586
2000,United States,,Volume in litres,Imports,Beer,62908
2000,United States,,Volume in litres,Exports,Spirits,60955
2000,United States,,Volume in litres,Exports,Wines,16416
2000,United States,,Volume in litres,Exports,Beer,365690
2000,Other countries,,Volume in litres,Imports,Spirits,9111
2000,Other countries,,Volume in litres,Imports,Wines,42453
2000,Other countries,,Volume in litres,Imports,Beer,23537
2000,Other countries,,Volume in litres,Exports,Spirits,4526
2000,Other countries,,Volume in litres,Exports,Wines,1074
2001,Canada,,Volume in litres,Imports,Spirits,28951
2001,Canada,,Volume in litres,Imports,Wines,248578
2001,Canada,,Volume in litres,Imports,Beer,164876
2001,Canada,,Volume in litres,Exports,Spirits,65397
2001,Canada,,Volume in litres,Exports,Wines,24101
2001,Canada,,Volume in litres,Exports,Beer,413855
2001,Australia,,Volume in litres,Imports,Wines,16951
2001,Belgium,,Volume in litres,Exports,Spirits,
2001,Brazil,,Volume in litres,Imports,Spirits,
2001,Chile,,Volume in litres,Imports,Wines,28957
2001,France,,Volume in litres,Imports,Spirits,2194
2001,France,,Volume in litres,Imports,Wines,73055
2001,France,,Volume in litres,Exports,Spirits,
2001,Germany,,Volume in litres,Imports,Wines,4766
2001,Germany,,Volume in litres,Imports,Beer,10364
2001,Guyana,,Volume in litres,Imports,Spirits,
2001,Ireland,,Volume in litres,Imports,Spirits,1467
2001,Ireland,,Volume in litres,Imports,Beer,
2001,Italy,,Volume in litres,Imports,Wines,46372
2001,Jamaica,,Volume in litres,Imports,Spirits,2809
2001,Japan,,Volume in litres,Exports,Spirits,2189
2001,Mexico,,Volume in litres,Imports,Spirits,
2001,Mexico,,Volume in litres,Imports,Beer,33965
2001,Netherlands,,Volume in litres,Imports,Beer,27863
2001,South Africa,,Volume in litres,Exports,Spirits,
2001,Spain,,Volume in litres,Imports,Wines,
2001,Sweden,,Volume in litres,Exports,Spirits,963
2001,Taiwan,,Volume in litres,Exports,Wines,381
2001,Thailand,,Volume in litres,Exports,Spirits,
2001,United Kingdom,,Volume in litres,Imports,Spirits,5547
2001,United Kingdom,,Volume in litres,Imports,Beer,12630
2001,United Kingdom,,Volume in litres,Exports,Spirits,1253
2001,United States,,Volume in litres,Imports,Spirits,7515
2001,United States,,Volume in litres,Imports,Wines,42908
2001,United States,,Volume in litres,Imports,Beer,52183
2001,United States,,Volume in litres,Exports,Spirits,57403
2001,United States,,Volume in litres,Exports,Wines,21553
2001,United States,,Volume in litres,Exports,Beer,413855
2001,Other countries,,Volume in litres,Imports,Spirits,9419
2001,Other countries,,Volume in litres,Imports,Wines,35569
2001,Other countries,,Volume in litres,Imports,Beer,27871
2001,Other countries,,Volume in litres,Exports,Spirits,3589
2001,Other countries,,Volume in litres,Exports,Wines,2167
2002,Canada,,Volume in litres,Imports,Spirits,30626
2002,Canada,,Volume in litres,Imports,Wines,249247
2002,Canada,,Volume in litres,Imports,Beer,178643
2002,Canada,,Volume in litres,Exports,Spirits,62522
2002,Canada,,Volume in litres,Exports,Wines,43913
2002,Canada,,Volume in litres,Exports,Beer,415748
2002,Australia,,Volume in litres,Imports,Wines,20123
2002,Belgium,,Volume in litres,Exports,Spirits,
2002,Brazil,,Volume in litres,Imports,Spirits,
2002,Chile,,Volume in litres,Imports,Wines,28597
2002,France,,Volume in litres,Imports,Spirits,1935
2002,France,,Volume in litres,Imports,Wines,74701
2002,France,,Volume in litres,Exports,Spirits,
2002,Germany,,Volume in litres,Imports,Wines,4773
2002,Germany,,Volume in litres,Imports,Beer,13085
2002,Guyana,,Volume in litres,Imports,Spirits,
2002,Ireland,,Volume in litres,Imports,Spirits,961
2002,Ireland,,Volume in litres,Imports,Beer,
2002,Italy,,Volume in litres,Imports,Wines,46519
2002,Jamaica,,Volume in litres,Imports,Spirits,1733
2002,Japan,,Volume in litres,Exports,Spirits,2107
2002,Mexico,,Volume in litres,Imports,Spirits,
2002,Mexico,,Volume in litres,Imports,Beer,39436
2002,Netherlands,,Volume in litres,Imports,Beer,35521
2002,South Africa,,Volume in litres,Exports,Spirits,
2002,Spain,,Volume in litres,Imports,Wines,
2002,Sweden,,Volume in litres,Exports,Spirits,574
2002,Taiwan,,Volume in litres,Exports,Wines,788
2002,Thailand,,Volume in litres,Exports,Spirits,
2002,United Kingdom,,Volume in litres,Imports,Spirits,5533
2002,United Kingdom,,Volume in litres,Imports,Beer,12925
2002,United Kingdom,,Volume in litres,Exports,Spirits,605
2002,United States,,Volume in litres,Imports,Spirits,10715
2002,United States,,Volume in litres,Imports,Wines,39838
2002,United States,,Volume in litres,Imports,Beer,44183
2002,United States,,Volume in litres,Exports,Spirits,54928
2002,United States,,Volume in litres,Exports,Wines,41024
2002,United States,,Volume in litres,Exports,Beer,415748
2002,Other countries,,Volume in litres,Imports,Spirits,9749
2002,Other countries,,Volume in litres,Imports,Wines,34696
2002,Other countries,,Volume in litres,Imports,Beer,33493
2002,Other countries,,Volume in litres,Exports,Spirits,4308
2002,Other countries,,Volume in litres,Exports,Wines,2101
2003,Canada,,Volume in litres,Imports,Spirits,31472
2003,Canada,,Volume in litres,Imports,Wines,202250
2003,Canada,,Volume in litres,Imports,Beer,205980
2003,Canada,,Volume in litres,Exports,Spirits,64712
2003,Canada,,Volume in litres,Exports,Wines,38222
2003,Canada,,Volume in litres,Exports,Beer,394746
2003,Australia,,Volume in litres,Imports,Wines,20248
2003,Belgium,,Volume in litres,Exports,Spirits,
2003,Brazil,,Volume in litres,Imports,Spirits,
2003,Chile,,Volume in litres,Imports,Wines,22177
2003,France,,Volume in litres,Imports,Spirits,2243
2003,France,,Volume in litres,Imports,Wines,55128
2003,France,,Volume in litres,Exports,Spirits,
2003,Germany,,Volume in litres,Imports,Wines,4188
2003,Germany,,Volume in litres,Imports,Beer,15479
2003,Guyana,,Volume in litres,Imports,Spirits,
2003,Ireland,,Volume in litres,Imports,Spirits,359
2003,Ireland,,Volume in litres,Imports,Beer,
2003,Italy,,Volume in litres,Imports,Wines,40337
2003,Jamaica,,Volume in litres,Imports,Spirits,1742
